"ACAH","AEGC","ALCC","ALSB","AMPP","ANAE","ANNS","ANTP","APEM","ARR1","ARR2","ARRV","ASTG","BEIP","BROA","CAL1","CAS3","CELI","CERT","CHRC","CISE","COCP","COMD","CORA","CORB","CORL","COUC","CYDA","DAVN","DENA","DESP","DIPP","DOL1","DOL2","DOLO","DRYS","EUGC","EUGO","FARO","GUA2","GUAD","GUAS","HAM2","HASF","HEIC","HIPV","HIR1","HIRF","HIRG","HIRT","HYBP","INMA","JACC","LONL","LUE1","MACU","MARP","MASH","MASN","MENG","MENL","MOUM","OENM","PARP","PAU1","PAU3","PAUF","PAUR","PAUT","PHRC","PITC","PLAE","PLAP","POUA","POUU","PRIA","PRIC","PROT","PYFU","PYHO","QUA1","RANA","RIN2","SAPG","SCHM","SER1","SERM","SIMA","SORA","SPOM","SPOR","TABA","TABG","TABR","TERA","TERO","TET2","TETD","TETH","THIM","TRAA","TRI1","TRI3","TRIC","TYNC","VIR1","VIR2","ZAN1"
"38",0,0,1.6666666667,3891.111111113,7,0,0,0,780.64,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,25,21,0,0,2,2,0,0,0,0,0,50.88,4,0,1,0,0,0,15,6,0,0,0,1,40,1,0,0,41.9975,17,0,0,9,0,0,16,4,0,8,2,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,1,0,0,0,0,0,0,0,0,9,1,0,0,19.04,7,0,0,0,178,12,5,0
"39",0,2.75,4,3639.3333333351,12,6,0,0,1750.6,0,0,0,0,3,0,0,0,0,1,4,0,0,3,0,0,6,2,75.1666666666,0,0,0,0,0,0,0,0,1,3,3,0,3,2,0,0,11,33.6285714286,0,0,0,0,1,8,0,0,916.96,4,0,0,1181,1,0,40,2,1,1,54,2,0,16.7023809524,0,8,0,0,0,0,4.7,2,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,1,0,15,37.8926984128,0,9,433.84,14,0,0,0,64.8,3,1,0
"40",3,0,2.6666666667,1419.1111111118,0,5,0,0,0,0,0,0,0,8,1,0,0,0,1,0,0,0,42,123,0,55,0,20,0,0,9,0,0,0,0,0,0,3,0,0,62,0,0,16.5999999996,1,12,0,0,0,1,1222.3,3,1172.25,0,6989.91,3,0,0,846,0,0,12,8,1,0,35,0,0,4.8511904762,0,4,0,0,0,0,0,14,0,0,0,0,1,0,0,0,0,275,40,0,0,0,1,1,84,0,54,32,0,26.8,37.72,3,0,2.7,314,40.4,0,3,0
"41",1,0,553.6666666707,0,0,31,0,0,0,0,0,0,0,38,16,0,0,2,1,0,0,0,22,17,14,32,1,1,0,0,0,0,0,0,2,0,0,0,0,0,5,8,0,94.666666665,0,33.2571428572,0,0,0,1,659.5,0,0,0,966.995,1,0,0,79,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,104,7,0,0,0,45.875,0,51,0,4,40,0,0,6.8,1,0,3.4,97,1,0,2,0
"42",0,0,1178.0000000117,206.0000000001,0,6,0,0,0,0,0,0,0,0,253,0,0,1,0,0,0,0,4,0,64,7,0,1,0,0,0,0,0,0,1,0,0,1.44,0,0,4,11,0,97.3333333315,0,0,0,0,0,3,0,0,0,0,419,0,6.2301282052,0,14,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4.7485714287,0,0,0,0,0,3,2,0,0,0,1,0,0,0,2,3,0,0,0,1,0,5,6,0,1,9,0
"43",0,0,20,4303.1111111132,0,0,0,1,0,0,0,0,0,0,50,0,0,1,11,0,0,0,0,0,7,1,0,4,0,0,0,0,0,3,0,0,13.40625,0,0,0,3,3,0,4.1333333333,0,1,0,0,0,0,0,0,77,0,5,0,29.8451923078,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,24.285714286,0,0,14.7485714287,67.8,0,0,0,0,0,1,0,0,2,0,0,0,0,1,4.3615873016,0,0,0,0,0,166.1,0,0,0,6,0
"44",0,0,11.0000000002,6294.4444444475,0,0,44,13,0,0,0,0,0,0,6,0,37.6833333331,1,9,0,0,0,0,0,0,1,0,1,0,0,5,0,10.8727272727,0,14.04,0,18.46875,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2386.75,0,12,0,4.6150641026,0,23,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,2,0,196.485714287,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,832,0,2,0,0,0
"45",0,0,3,24422.4444444563,1,0,37,33,0,0,0,0,0,0,1,0,743.3666666622,19,18,0,1,0,0,0,1,0,1,1,0,85.875,0,0,17.7454545454,0,19.72,0,15.1875,0,17,0,1,0,0,0,0,5.3142857143,0,0,0,6,0,0,4113.375,0,29,0,0,0,27,0,0,1,1,0,13.5,0,1,22,0,0,0,0,0,0,0,0,6,1,5,57.64,150.0685714299,7,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,345.6,0,0,0,0,0
"46",0,18,0,15587.3333333409,0,0,16,28,0,0,0,0,0,0,1,0,140.5833333325,61,4,0,1,0,0,0,0,0,0,1,1,483.275,4,0,105.8727272727,0,57.72,0,0,0,184,0,0,10,0,0,0,1,0,0,0,1,0,0,781,0,0,0,1,0,15,11,0,0,7,0,23.625,0,0,1,0,0,101,0,0,0,0,2,0,0,2,291.68,45.4114285719,22,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,1,0,0,0,252.4,0,0,0,0,0
"47",0,67.75,0,14259.7777777847,0,0,0,2,0,0,0,0,0,0,0,0,4,5,1,1,25,0,0,0,0,0,2,0,0,55.925,1,0,0,0,0,0,0,0,48,1,0,0,0,0,0,2,0,0,0,0,0,0,614.75,0,0,1,0,0,7,8,0,0,1,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,12,71.24,0,0,0,0,2,0,0,0,9,0,20,0,0,0,0,0,0,0,0,0,0,0,1,0,26.4,19,0,0
"48",0,3,0,24376.6666666785,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,4,0,0,1,0,4,0,0,0,0,0,0,29,1,0,0,0,0,0,34,0,0,0,0,0,1,74,0,0,0,0,0,0,6,0,1,0,0,0,0,3,0,0,0,5,0,1,0,0,0,0,0,14,14,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,1,13,0,0
